Generic	Shape	Route	Indication	Dep	Diagn	Gender	MinAge	MaxAge	MinWeight	MaxWeight	MinBSA	MaxBSA	MinGestAge	MaxGestAge	MinPMAge	MaxPMAge	DoseType	Substance	Freqs	DoseUnit	AdjustUnit	FreqUnit	RateUnit	MinTime	MaxTime	TimeUnit	MinInt	MaxInt	IntUnit	MinDur	MaxDur	DurUnit	NormQty	MinQty	MaxQty	NormQtyAdj	MinQtyAdj	MaxQtyAdj	NormPerTime	MinPerTime	MaxPerTime	NormPerTimeAdj	MinPerTimeAdj	MaxPerTimeAdj	NormRate	MinRate	MaxRate	NormRateAdj	MinRateAdj	MaxRateAdj
acetylcysteine	concentraat voor oplossing voor infusie	iv	paracetamol intoxicatie				30	7200									onderhoud	acetylcysteine	6	mg	kg	dag	uur													75											2100			
acetylcysteine	capsule	or	productieve hoest				720	2520									onderhoud	acetylcysteine	2	mg		dag													200				400											
acetylcysteine	capsule	or	productieve hoest				2520	7200									onderhoud	acetylcysteine	1; 2; 3	mg		dag													200				600											
acetylcysteine	poeder voor oraal gebruik	or	productieve hoest				720	2520									onderhoud	acetylcysteine	2	mg		dag													200				400											
acetylcysteine	poeder voor oraal gebruik	or	productieve hoest				2520	7200									onderhoud	acetylcysteine	1; 2; 3	mg		dag													200				600											
acetylsalicylzuur	dispergeerbare tablet	or	trombocytenaggregatie remming					7200		6,000							onderhoud	acetylsalicylzuur	1	mg	kg	dag													30								3.2	4.8						
acetylsalicylzuur	dispergeerbare tablet	or	trombocytenaggregatie remming					7200	6,000								onderhoud	acetylsalicylzuur	1	mg		dag													30					16	30									
acetylsalicylzuur	poeder voor injectievloeistof	iv	trombocytenaggregatie remming					7200		6,000							onderhoud	acetylsalicylzuur	1	mg	kg	dag													30								3	5						
acetylsalicylzuur	poeder voor injectievloeistof	iv	trombocytenaggregatie remming					7200	6,000								onderhoud	acetylsalicylzuur	1	mg		dag													30															
acetylsalicylzuur	dispergeerbare tablet	or	ziekte van kawasaki				30	7200									onderhoud	acetylsalicylzuur	1	mg	kg	dag																					2.4	4						
aciclovir	concentraat voor oplossing voor infusie	iv	herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden					30						259			onderhoud	aciclovir	3	mg	kg	dag		60	70	min																60		66						
aciclovir	concentraat voor oplossing voor infusie	iv	herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden					30					259				onderhoud	aciclovir	4	mg	kg	dag		60	70	min																80		88						
aciclovir	concentraat voor oplossing voor infusie	iv	herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden				30	90									onderhoud	aciclovir	4	mg	kg	dag		60	70	min																80		88						
aciclovir	concentraat voor oplossing voor infusie	iv	herpes encefalitis/varicella zoster-infectie bij immuungecompromitteerden				90	7200									onderhoud	aciclovir	3	mg	m2	dag		60	70	min																1500		1650						
aciclovir	zalf	oog	Herpes keratitis														onderhoud		5	keer		dag													1				5		5									
aciclovir	creme	cutaan	Herpes labialis														onderhoud		5	keer		dag													1				5		5									
aciclovir	concentraat voor oplossing voor infusie	iv	Herpes neonatorum											259			onderhoud	aciclovir	4	mg	kg	dag		60	70	min																80		88						
aciclovir	concentraat voor oplossing voor infusie	iv	Herpes neonatorum					30					259				onderhoud	aciclovir	3	mg	kg	dag		60	70	min																60		66						
aciclovir	suspensie voor oraal gebruik	or	herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)				90	4320									onderhoud	aciclovir	3	mg	m2	dag																				750		825						
aciclovir	suspensie voor oraal gebruik	or	herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)				4320	7200									onderhoud	aciclovir	3	mg	kg	dag																				15		16.5						
aciclovir	tablet	or	herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)				90	4320									onderhoud	aciclovir	3	mg	m2	dag																				750		825						
aciclovir	tablet	or	herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons)				4320	7200									onderhoud	aciclovir	3	mg	kg	dag																				15		16.5						
aciclovir	concentraat voor oplossing voor infusie	iv	Herpes simplex infecties, recidiverende Varicella zoster-infectie				1080	4320									onderhoud	aciclovir	3	mg	m2	dag		60	70	min																750		825						
aciclovir	concentraat voor oplossing voor infusie	iv	Herpes simplex infecties, recidiverende Varicella zoster-infectie				4320	7200									onderhoud	aciclovir	3	mg	kg	dag		60	70	min																15		16.5						
aciclovir	suspensie voor oraal gebruik	or	hsv/vsv infectie				90	720									onderhoud	aciclovir	5	mg		dag													100				500											
aciclovir	suspensie voor oraal gebruik	or	hsv/vsv infectie				720										onderhoud	aciclovir	5	mg		dag													200				1000											
aciclovir	tablet	or	hsv/vsv infectie				90	720									onderhoud	aciclovir	5	mg		dag													100				500											
aciclovir	tablet	or	hsv/vsv infectie				720										onderhoud	aciclovir	5	mg		dag													200				1000											
aciclovir	suspensie voor oraal gebruik	or	profylax herpes simplex infecties				90	720									onderhoud	aciclovir	5	mg		dag													100				400											
aciclovir	suspensie voor oraal gebruik	or	profylax herpes simplex infecties				720										onderhoud	aciclovir	5	mg		dag													200				800											
aciclovir	tablet	or	profylax herpes simplex infecties				5475		50								onderhoud	aciclovir	2;3;4	mg		dag													400					600	800									
adalimumab	injectievloeistof	sc	hidradenitis suppurativa				4320	7200									onderhoud	adalimumab	1	mg		2 weken													40				40		40									
adalimumab	injectievloeistof	sc	overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, blau syndroom en chronische recidiverende multifocale osteomyelitis (crmo)/synovitis, acne, pustulose, hyperostose en ostitis (sapho)							30,000							onderhoud	adalimumab	1	mg		2 weken													20				20		20									
adalimumab	injectievloeistof	sc	overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, blau syndroom en chronische recidiverende multifocale osteomyelitis (crmo)/synovitis, acne, pustulose, hyperostose en ostitis (sapho)						30,000								onderhoud	adalimumab	1	mg		2 weken													40				40		40									
adalimumab	injectievloeistof	sc	polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis							30,000							onderhoud	adalimumab	1	mg		2 weken													20				20		20									
adalimumab	injectievloeistof	sc	polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis						30,000								onderhoud	adalimumab	1	mg		2 weken													40				40		40									
adalimumab	injectievloeistof	sc	ziekte van crohn						40,000								onderhoud	adalimumab	1	mg		week													80				80		80									
adalimumab	injectievloeistof	sc	ziekte van crohn						40,000								onderhoud	adalimumab	1	mg		2 weken													80				80		80									
adalimumab	injectievloeistof	sc	ziekte van crohn				2160			40,000							onderhoud	adalimumab	1	mg		week													20				20		20									
adalimumab	injectievloeistof	sc	ziekte van crohn				2160			40,000							onderhoud	adalimumab	1	mg		2 weken													20				20		20									
adapaleen	gel	cutaan	acne vulgaris				4320										onderhoud		1	keer		dag																	1		1									
adrenaline	injectievloeistof	iv	inotropie														continu	adrenaline		microg	kg		min																										0.01	0.5
alendroninezuur	tablet	or	osteogenesis imperfecta, remming botresoptie				1080	7200									onderhoud	alendroninezuur	1	mg		dag																												
alfacalcidol	capsule	or	chronische hypocalciemie					30					259				onderhoud	alfacalcidol	1	microg	kg	dag																					0.04	0.08						
alfacalcidol	capsule	or	chronische hypocalciemie				30	7200									onderhoud	alfacalcidol	1	microg		dag																		0.25	2									
alfacalcidol	druppels voor oraal gebruik	or	chronische hypocalciemie					30					259				onderhoud	alfacalcidol	1	microg	kg	dag																					0.04	0.08						
alfacalcidol	druppels voor oraal gebruik	or	chronische hypocalciemie				30	7200									onderhoud	alfacalcidol	1	microg		dag																												
alfacalcidol	capsule	or	osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):				30	7200									onderhoud	alfacalcidol	1	nanog	kg	dag																					0.2	39						
alfacalcidol	druppels voor oraal gebruik	or	osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):				30	7200									onderhoud	alfacalcidol	1	nanog	kg	dag																					0.2	39						
alfacalcidol	capsule	or	osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)				30	7200									onderhoud	alfacalcidol	1	microg	kg	dag																												
alfacalcidol	druppels voor oraal gebruik	or	osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)				30	7200									onderhoud	alfacalcidol	1	microg	kg	dag																												
alfacalcidol	injectievloeistof	iv	osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)				30	7200									onderhoud	alfacalcidol	1	microg	m2	week																					0.58	3.47						
alfacalcidol	capsule	or	rachitis				30	7200									onderhoud	alfacalcidol	1	microg		dag																		0.25	2									
alfacalcidol	druppels voor oraal gebruik	or	rachitis				30	7200									onderhoud	alfacalcidol	1	microg		dag																		0.25	2									
algeldraat/magnesiumhydroxide	suspensie voor oraal gebruik	or	hyperfosfatemie bij tumorlysis syndroom				30										onderhoud	algeldraat	3;4	mg	kg	dag																			10000		40	200						
algeldraat/magnesiumhydroxide	suspensie voor oraal gebruik	or	hyperfosfatemie bij tumorlysis syndroom				30										onderhoud	magnesiumhydroxide	3;4	mg	kg	dag																												
alginezuur/natriumwaterstofcarbonaat	suspensie voor oraal gebruik	or	gastro-oesofageale reflux				360	3600									onderhoud		1;2;3;4	mL		dag											10																	
alginezuur/natriumwaterstofcarbonaat	suspensie voor oraal gebruik	or	gastro-oesofageale reflux				3600	7200									onderhoud		1;2;3;4	mL		dag												10	20															
alimemazine	drank	or	allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken				720	7200									onderhoud	alimemazine	3; 4	mg	kg	dag																					0.75	1						
alimemazine	drank	or	premedicatie				720	7200									onderhoud	alimemazine	1	mg	kg	dag																				2		2.2						
allopurinol	capsule	or	glycogeen stapelingsziekte					7200									onderhoud	allopurinol	3	mg	kg	dag																					10	20						
allopurinol	tablet	or	glycogeen stapelingsziekte					7200									onderhoud	allopurinol	3	mg	kg	dag																					10	20						
allopurinol	capsule	or	hyperurikemie, tumor lysis syndroom				30	7200									onderhoud	allopurinol	3	mg	m2	dag																				300								
allopurinol	tablet	or	hyperurikemie, tumor lysis syndroom				30	7200									onderhoud	allopurinol	3	mg	m2	dag																				300								
allopurinol	capsule	or	lesch-nyhan, hprt deficientie					7200									onderhoud	allopurinol	1; 2; 3	mg	kg	dag																					4	10						
allopurinol	tablet	or	lesch-nyhan, hprt deficientie					7200									onderhoud	allopurinol	1; 2; 3	mg	kg	dag																					4	10						
alprazolam	tablet	or	kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid				2160	7200									onderhoud	alprazolam	3	mg	kg	dag																						0.05						
alprazolam	tablet met gereguleerde afgifte	or	kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid				2160	7200									onderhoud	alprazolam	3	mg	kg	dag																						0.05						
alprazolam	tablet	or	premedicatie				180	7200									onderhoud	alprazolam	3	mg	kg	dag																				0.015		0.06						
alprazolam	tablet met gereguleerde afgifte	or	premedicatie				180	7200									onderhoud	alprazolam	3	mg	kg	dag																				0.015		0.06						
alprostadil	concentraat voor oplossing voor infusie	iv	open houden ductus arteriosus, in afwachting van operatie					30									continu	alprostadil		nanog	kg		min																										5	100
amfotericine-b	drank	or	selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties						5,000	10,000							onderhoud	amfotericine-b	3	mg		dag																												
amfotericine-b	drank	or	selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties						10,000	20,000							onderhoud	amfotericine-b	3	mg		dag																												
amfotericine-b	drank	or	selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties						20,000	30,000							onderhoud	amfotericine-b	4	mg		dag																												
amfotericine-b	drank	or	selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties						30,000								onderhoud	amfotericine-b	4	mg		dag																												
amfotericine-b-lipide-complex	concentraat voor oplossing voor infusie	iv	systemische mycosen					30					259				onderhoud	amfotericine-b-lipide-complex	1	mg	kg	dag																					2.5	5						
amfotericine-b-lipide-complex	concentraat voor oplossing voor infusie	iv	systemische mycosen				30	540									onderhoud	amfotericine-b-lipide-complex	1	mg	kg	dag																					3	5.5						
amfotericine-b-liposomaal	poeder voor oplossing voor infusie	iv	systemische mycosen					7200									onderhoud	amfotericine-b-liposomaal	1	mg	kg	dag		60		min																	3	5						
amfotericine-b-liposomaal	poeder voor oplossing voor infusie	iv	viscerale leishmaniasis				30	7200									onderhoud	amfotericine-b-liposomaal	1	mg	kg	dag		60		min																	3	4						
amikacine	injectievloeistof	iv	infecties bij cystic fibrosis				30	7200									onderhoud	amikacine	1	mg	kg	dag		30		min																	20	30						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden					30					259				onderhoud	amikacine	1	mg	kg	dag		30		min																15		16.5						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden					30		1,200				259			onderhoud	amikacine	1	mg	kg	2 dagen		30		min																16		17.6						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden					30	1,200	2,800				259			onderhoud	amikacine	1	mg	kg	36 uur		30		min																15		16.5						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden					30	2,800					259			onderhoud	amikacine	1	mg	kg	dag		30		min																15		16.5						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden				14	30		1,200				259			onderhoud	amikacine	1	mg	kg	dag		30		min																20		22						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden				14	30		1,200				259			onderhoud	amikacine	1	mg	kg	36 uur		30		min																20		22						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden				14	30	1,200					259			onderhoud	amikacine	1	mg	kg	dag		30		min																18		19.8						
amikacine	injectievloeistof	iv	kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van gram negatieve micro-organismen, inclusief pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden				30	7200									onderhoud	amikacine	1	mg	kg	dag		30		min																15								
amiodaron	tablet	or	ernstige therapieresistente hartritmestoornissen				30	7200									onderhoud	amiodaron	1; 2	mg	kg	dag																					2.5	5						
amiodaron	injectievloeistof	iv	ernstige therapieresistente hartritmestoornissen														continu	amiodaron		microg	kg		min																										5	15
amitriptyline	tablet	or	enuresis nocturna				2160	7200									onderhoud	amitriptyline	1	mg	kg	dag																					1	1.5						
amitriptyline	tablet	or	Hoofdpijn (profylaxe)				2160	7200									onderhoud	amitriptyline	1	mg		dag																		10	30									
amitriptyline	tablet	or	Neuropathische pijn				2160	7200									onderhoud	amitriptyline	1	mg		dag																		5	10									
amlodipine	drank	or	hypertensie				30	2160									onderhoud	amlodipine	2	mg	kg	dag																					0.1	0.6						
amlodipine	drank	or	hypertensie				2160	7200									onderhoud	amlodipine	1; 2	mg	kg	dag																					0.1	0.6						
amlodipine	tablet	or	hypertensie				30	2160									onderhoud	amlodipine	2	mg	kg	dag																					0.1	0.6						
amlodipine	tablet	or	hypertensie				2160	7200									onderhoud	amlodipine	1; 2	mg	kg	dag																					0.1	0.6						
amoxicilline	capsule	or	eradicatie h.pylori (triple therapie)					7200									onderhoud	amoxicilline	2	mg	kg	dag																				50								
amoxicilline	dispergeerbare tablet	or	eradicatie h.pylori (triple therapie)					7200									onderhoud	amoxicilline	2	mg	kg	dag																				50								
amoxicilline	suspensie voor oraal gebruik	or	eradicatie h.pylori (triple therapie)					7200									onderhoud	amoxicilline	2	mg	kg	dag																				50								
amoxicilline	capsule	or	ernstige infecties							40,000							onderhoud	amoxicilline	3	mg	kg	dag																					80	90						
amoxicilline	capsule	or	ernstige infecties						40,000								onderhoud	amoxicilline	3	mg		dag																												
amoxicilline	dispergeerbare tablet	or	ernstige infecties							40,000							onderhoud	amoxicilline	3	mg	kg	dag																					80	90						
amoxicilline	dispergeerbare tablet	or	ernstige infecties						40,000								onderhoud	amoxicilline	3	mg		dag																												
amoxicilline	poeder voor injectievloeistof	iv	ernstige infecties					7		2,000							onderhoud	amoxicilline	2	mg	kg	dag																				50		55						
amoxicilline	poeder voor injectievloeistof	iv	ernstige infecties					7	2,000								onderhoud	amoxicilline	3	mg	kg	dag																				75		82.5						
amoxicilline	poeder voor injectievloeistof	iv	ernstige infecties				7	30		2,000							onderhoud	amoxicilline	3	mg	kg	dag																				75		82.5						
amoxicilline	poeder voor injectievloeistof	iv	ernstige infecties				7	30	2,000								onderhoud	amoxicilline	4	mg	kg	dag																				100		110						
amoxicilline	poeder voor injectievloeistof	iv	ernstige infecties			1	6480										onderhoud	amoxicilline	3; 4	mg	kg	dag																				100								
amoxicilline	suspensie voor oraal gebruik	or	ernstige infecties							40,000							onderhoud	amoxicilline	3	mg	kg	dag																					80	90						
amoxicilline	suspensie voor oraal gebruik	or	ernstige infecties						40,000								onderhoud	amoxicilline	3	mg		dag																												
amoxicilline	capsule	or	infecties				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				50								
amoxicilline	dispergeerbare tablet	or	infecties				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				50								
amoxicilline	suspensie voor oraal gebruik	or	infecties				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				50								
amoxicilline	poeder voor injectievloeistof	iv	meningitis					7		2,000							onderhoud	amoxicilline	2	mg	kg	dag																				100		110						
amoxicilline	poeder voor injectievloeistof	iv	meningitis					7	2,000								onderhoud	amoxicilline	3	mg	kg	dag																				150		165						
amoxicilline	poeder voor injectievloeistof	iv	meningitis				7	30		2,000							onderhoud	amoxicilline	3	mg	kg	dag																				150		165						
amoxicilline	poeder voor injectievloeistof	iv	meningitis				7	30	2,000								onderhoud	amoxicilline	4	mg	kg	dag																				200		220						
amoxicilline	poeder voor injectievloeistof	iv	meningitis				30	7200									onderhoud	amoxicilline	3; 4	mg	kg	dag																				200								
amoxicilline	capsule	or	postexpositieprofylaxe antrax				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				40								
amoxicilline	dispergeerbare tablet	or	postexpositieprofylaxe antrax				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				40								
amoxicilline	suspensie voor oraal gebruik	or	postexpositieprofylaxe antrax				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				40								
amoxicilline	capsule	or	vroege gelokaliseerde en gedissemineerde lymeziekte, m.u.v. meningitis en lymecarditis				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				50								
amoxicilline	dispergeerbare tablet	or	vroege gelokaliseerde en gedissemineerde lymeziekte, m.u.v. meningitis en lymecarditis				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				50								
amoxicilline	suspensie voor oraal gebruik	or	vroege gelokaliseerde en gedissemineerde lymeziekte, m.u.v. meningitis en lymecarditis				30	7200									onderhoud	amoxicilline	3	mg	kg	dag																				50								
amoxicilline/clavulaanzuur	poeder voor injectievloeistof	iv	Ernstige infecties						40,000								onderhoud	amoxicilline	2; 3	mg		dag		15		min														2000	4000									
amoxicilline/clavulaanzuur	poeder voor injectievloeistof	iv	Ernstige infecties					7		2,000							onderhoud	amoxicilline	2	mg	kg	dag		15		min																50		55						
amoxicilline/clavulaanzuur	poeder voor injectievloeistof	iv	Ernstige infecties					7	2,000								onderhoud	amoxicilline	3	mg	kg	dag		15		min																75		82.5						
amoxicilline/clavulaanzuur	poeder voor injectievloeistof	iv	Ernstige infecties				7	30		2,000							onderhoud	amoxicilline	3	mg	kg	dag		15		min																75		82.5						
amoxicilline/clavulaanzuur	poeder voor injectievloeistof	iv	Ernstige infecties				7	30	2,000								onderhoud	amoxicilline	4	mg	kg	dag		15		min																100		110						
amoxicilline/clavulaanzuur	poeder voor injectievloeistof	iv	Ernstige infecties				30			40,000							onderhoud	amoxicilline	3; 4	mg	kg	dag		15		min																100		110						
amoxicilline/clavulaanzuur	poeder voor oplossing voor infusie	iv	Ernstige infecties						40,000								onderhoud	amoxicilline	2; 3	mg		dag																		2000	4000									
amoxicilline/clavulaanzuur	poeder voor oplossing voor infusie	iv	Ernstige infecties					7		2,000							onderhoud	amoxicilline	2	mg	kg	dag																				50		55						
amoxicilline/clavulaanzuur	poeder voor oplossing voor infusie	iv	Ernstige infecties					7	2,000								onderhoud	amoxicilline	3	mg	kg	dag																				75		82.5						
amoxicilline/clavulaanzuur	poeder voor oplossing voor infusie	iv	Ernstige infecties				7	30		2,000							onderhoud	amoxicilline	3	mg	kg	dag																				75		82.5						
amoxicilline/clavulaanzuur	poeder voor oplossing voor infusie	iv	Ernstige infecties				7	30	2,000								onderhoud	amoxicilline	4	mg	kg	dag																				100		110						
amoxicilline/clavulaanzuur	poeder voor oplossing voor infusie	iv	Ernstige infecties				30			40,000							onderhoud	amoxicilline	3; 4	mg	kg	dag																				100		110						
amoxicilline/clavulaanzuur	suspensie voor oraal gebruik	or	infecties							40,000							onderhoud	amoxicilline	3	mg	kg	dag																				50	20	60						
amoxicilline/clavulaanzuur	suspensie voor oraal gebruik	or	infecties						40,000								onderhoud	amoxicilline	3	mg		dag																	1500											
amoxicilline/clavulaanzuur	tablet	or	infecties							40,000							onderhoud	amoxicilline	3	mg	kg	dag																				50	20	60						
amoxicilline/clavulaanzuur	tablet	or	infecties						40,000								onderhoud	amoxicilline	3	mg		dag																	1500											
amylase/lipase/protease	maagsapresistent granulaat	or	exocriene pancreasinsufficientie					360									onderhoud	amylase+lipase+protease	3; 4; 5; 6; 7; 8	FIP-E	kg	dag																						10000						
amylase/lipase/protease	maagsapresistent granulaat	or	exocriene pancreasinsufficientie				360	1440									onderhoud	amylase+lipase+protease	3; 4; 5; 6	FIP-E	kg	dag																						15000						
amylase/lipase/protease	maagsapresistent granulaat	or	exocriene pancreasinsufficientie				1440	7200									onderhoud	amylase+lipase+protease	3; 4; 5	FIP-E	kg	dag																						15000						
amylase/lipase/protease	maagsapresistente capsule	or	exocriene pancreasinsufficientie					360									onderhoud	amylase+lipase+protease	3; 4; 5; 6; 7; 8	FIP-E	kg	dag																						10000						
amylase/lipase/protease	maagsapresistente capsule	or	exocriene pancreasinsufficientie				360	1440									onderhoud	amylase+lipase+protease	3; 4; 5; 6	FIP-E	kg	dag																						15000						
amylase/lipase/protease	maagsapresistente capsule	or	exocriene pancreasinsufficientie				1440	7200									onderhoud	amylase+lipase+protease	3; 4; 5	FIP-E	kg	dag																						15000						
anakinra	injectievloeistof	sc	cryopyrine geassocieerde periodieke koortssyndromen (caps), systemische juveniele idiopathische artritis (sjia), overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie:				240		10,000								onderhoud	anakinra	1	mg	kg	dag																					1	4						
anidulafungine	infusiepoeder	iv	Invasieve candidiasis, candida peritonitis, aspergillose				30	6480									onderhoud	anidulafungine	1	mg	kg	dag																				1.5	1.5	3						
anidulafungine	infusiepoeder	iv	Invasieve candidiasis, candida peritonitis, aspergillose				6480										onderhoud	anidulafungine	1	mg		dag													100				100											
aprepitant	capsule	or	preventie van misselijkheid en braken bij chemotherapie				180	7200		40,000							onderhoud	aprepitant	1	mg	kg	dag																				2		2.2						
aprepitant	capsule	or	preventie van misselijkheid en braken bij chemotherapie				180	7200	40,000								onderhoud	aprepitant	1	mg		dag																												
