SortNo	Generic	Shape	Brand	Route	GPKs	Indication	ScheduleText	Dep	Gender	MinAge	MaxAge	MinWeight	MaxWeight	MinBSA	MaxBSA	MinGestAge	MaxGestAge	MinPMAge	MaxPMAge	DoseType	DoseText	UseGenericName	Substance	Freqs	DoseUnit	AdjustUnit	FreqUnit	RateUnit	MinTime	MaxTime	TimeUnit	MinInt	MaxInt	IntUnit	MinDur	MaxDur	DurUnit	MinQty	MaxQty	NormQtyAdj	MinQtyAdj	MaxQtyAdj	MinPerTime	MaxPerTime	NormPerTimeAdj	MinPerTimeAdj	MaxPerTimeAdj	MinRate	MaxRate	MinRateAdj	MaxRateAdj
36	acenocoumarol			ORAAL		Antistolling	< 1 jaar Dag 1: 0.2 mg/kg/dag in 1 dosis Dag 2: 0.15 mg/kg/dag in 1 dosis Dag 3: 0.1 mg/kg/dag in 1 dosis Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0 – 3.0).Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie				365									discontinuous	dag 2		acenocoumarol	1	mg	kg	dag								1	1	dag								0.15						
36	acenocoumarol			ORAAL		Antistolling	< 1 jaar Dag 1: 0.2 mg/kg/dag in 1 dosis Dag 2: 0.15 mg/kg/dag in 1 dosis Dag 3: 0.1 mg/kg/dag in 1 dosis Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0 – 3.0).Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie				365									discontinuous	dag 3		acenocoumarol	1	mg	kg	dag								1	1	dag								0.1						
37	acenocoumarol			ORAAL		Antistolling	1 jaar tot 5 jaar Dag 1: 0.15 mg/kg/dag in 1 dosis Dag 2: 0.1 mg/kg/dag in 1 dosis Dag 3: 0.05 mg/kg/dag in 1 dosis Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0-3.0)Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie			365	1826									discontinuous	dag 1		acenocoumarol	1	mg	kg	dag								1	1	dag								0.15						
37	acenocoumarol			ORAAL		Antistolling	1 jaar tot 5 jaar Dag 1: 0.15 mg/kg/dag in 1 dosis Dag 2: 0.1 mg/kg/dag in 1 dosis Dag 3: 0.05 mg/kg/dag in 1 dosis Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0-3.0)Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie			365	1826									discontinuous	dag 2		acenocoumarol	1	mg	kg	dag								1	1	dag								0.1						
37	acenocoumarol			ORAAL		Antistolling	1 jaar tot 5 jaar Dag 1: 0.15 mg/kg/dag in 1 dosis Dag 2: 0.1 mg/kg/dag in 1 dosis Dag 3: 0.05 mg/kg/dag in 1 dosis Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0-3.0)Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie			365	1826									discontinuous	dag 3		acenocoumarol	1	mg	kg	dag								1	1	dag								0.05						
38	acenocoumarol			ORAAL		Antistolling	≥ 5 jaar Dag 1: 0.1 mg/kg/dag in 1 dosis, max 6 mg Dag 2: 0.05 mg/kg/dag in 1 dosis, max 4 mg Dag 3: 0.025 mg/kg/dag in 1 dosis, max 2 mg Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0-3.0)Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie			1826										discontinuous	dag 1		acenocoumarol	1	mg	kg	dag								1	1	dag							6	0.1						
38	acenocoumarol			ORAAL		Antistolling	≥ 5 jaar Dag 1: 0.1 mg/kg/dag in 1 dosis, max 6 mg Dag 2: 0.05 mg/kg/dag in 1 dosis, max 4 mg Dag 3: 0.025 mg/kg/dag in 1 dosis, max 2 mg Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0-3.0)Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie			1826										discontinuous	dag 2		acenocoumarol	1	mg	kg	dag								1	1	dag							4	0.05						
38	acenocoumarol			ORAAL		Antistolling	≥ 5 jaar Dag 1: 0.1 mg/kg/dag in 1 dosis, max 6 mg Dag 2: 0.05 mg/kg/dag in 1 dosis, max 4 mg Dag 3: 0.025 mg/kg/dag in 1 dosis, max 2 mg Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0-3.0)Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie			1826										discontinuous	dag 3		acenocoumarol	1	mg	kg	dag								1	1	dag							2	0.025						
40	acetazolamide			INTRAVENEUS		Epilepsie, adjuvante therapie	1 maand tot 18 jaar 8 - 30 mg/kg/dag in 2 - 3 doses. Max: 1.500 mg/dag. Parenterale toediening uitsluitend in geval van spoed			30	6574									discontinuous			acetazolamide	2;3	mg	kg	dag																	1500		8	30				
44	acetazolamide			ORAAL		Diureticum bij oedeem	1 maand tot 18 jaar 's Ochtends 5 mg/kg/dag in 1 dosis. Max: 375 mg/dag. Behandelduur: 2 dagen, vervolgens 1 dag rust. Dan herhalen van dit schema.			30	6574									discontinuous			acetazolamide	1	mg	kg	dag								2	2	dagen							375	5						
39	acetazolamide			ORAAL		Epilepsie, adjuvante therapie	1 maand tot 18 jaar 8 - 30 mg/kg/dag in 2 - 3 doses. Max: 1.500 mg/dag.			30	6574									discontinuous			acetazolamide	2;3	mg	kg	dag																	1500		8	30				
42	acetazolamide			ORAAL		Verlaging intracraniele druk	1 maand tot 18 jaar Startdosering: 30 mg/kg/dag in 3 doses.Onderhoudsdosering: Eventueel ophogen tot maximaal 100 mg/kg/dag in 3 doses. Max: 1.500 mg/dag. Elektrolytenbalans monitoren en eventueel corrigeren met kalium en bicarbonaat. Dosering gebaseerd op cases.			30	6574									discontinuous			acetazolamide	3	mg	kg	dag																	1500		30	100				
43	acetazolamide			ORAAL		Verlaging intracraniele druk	1 maand tot 18 jaar Startdosering: 30 mg/kg/dag in 3 doses.Onderhoudsdosering: Eventueel ophogen tot maximaal 100 mg/kg/dag in 3 doses. Max: 1.500 mg/dag. Elektrolytenbalans monitoren en eventueel corrigeren met kalium en bicarbonaat. Dosering gebaseerd op cases.			30	6574									discontinuous			acetazolamide	3	mg	kg	dag																	1500		30	100				
41	acetazolamide			ORAAL		Verlaging intraoculaire druk	1 maand tot 18 jaar 10 - 30 mg/kg/dag in 3 - 4 doses. Max: 1 g/dag.			30	6574									discontinuous			acetazolamide	3;4	mg	kg	dag																	1000		10	30				
47	acetylcysteine			INTRAVENEUS		Paracetamol intoxicatie	a terme neonaat Startdosering: 150 mg/kg/dosis in 1 uur. Onderhoudsdosering: 75 mg/kg/dosis in 4 uur. De onderhoudsdosis moet worden herhaald totdat de plasmaconcentratie lager is dan 10 mg/l en in ieder geval gedurende ten minste 24 uur.. De neonatale doses zijn tot stand gekomen op basis van extrapolatie vanuit oudere leeftijdsgroepen.				30					259				onceTimed	startdosering		acetylcysteine		mg	kg		uur	60	70	min									150											
48	acetylcysteine			INTRAVENEUS		Paracetamol intoxicatie	a terme neonaat Startdosering: 150 mg/kg/dosis in 1 uur. Onderhoudsdosering: 75 mg/kg/dosis in 4 uur. De onderhoudsdosis moet worden herhaald totdat de plasmaconcentratie lager is dan 10 mg/l en in ieder geval gedurende ten minste 24 uur.. De neonatale doses zijn tot stand gekomen op basis van extrapolatie vanuit oudere leeftijdsgroepen.				30					259				onceTimed	onderhoudsdosering		acetylcysteine		mg	kg		uur	240	250	min									75											
49	acetylcysteine			INTRAVENEUS		Paracetamol intoxicatie	1 maand tot 18 jaar Startdosering: 150 mg/kg/dosis in 1 uur. Onderhoudsdosering: 75 mg/kg/dosis in 4 uur. De onderhoudsdosis moet worden herhaald totdat de plasmaconcentratie lager is dan 10 mg/l en in ieder geval gedurende ten minste 24 uur..			30	6574									onceTimed	startdosering		acetylcysteine		mg	kg		uur	60	70	min									150											
50	acetylcysteine			INTRAVENEUS		Paracetamol intoxicatie	1 maand tot 18 jaar Startdosering: 150 mg/kg/dosis in 1 uur. Onderhoudsdosering: 75 mg/kg/dosis in 4 uur. De onderhoudsdosis moet worden herhaald totdat de plasmaconcentratie lager is dan 10 mg/l en in ieder geval gedurende ten minste 24 uur..			30	6574									onceTimed	onderhoudsdosering		acetylcysteine	1	mg	kg		uur	240	250	min									75											
51	acetylcysteine			INTRAVESICAAL		Slijmvermindering na operatieve blaasvergroting	1 maand tot 18 jaar 50 - 100 ml/dosis 3 dd. Ad-hoc receptuur. Oplossing 8% in fysiologisch zout			30	6574									discontinuous				3	mL		dag											50	100												
45	acetylcysteine			ORAAL		Paracetamol intoxicatie	1 maand tot 18 jaar Startdosering: 150 mg/kg/dosis, éénmalig. Onderhoudsdosering: 75 mg/kg/dosis elke 4 uur. De onderhoudsdosering dient te worden voortgezet tot de plasmaconcentratiespiegel lager is dan 10 mg/L, maar tenminste 24 uur. Bij voorkeur intraveneuze toediening. Alleen oraal indien intraveneuze toediening niet mogelijk is.			30	6574									once			acetylcysteine		mg	kg														150											
46	acetylcysteine			ORAAL		Paracetamol intoxicatie	1 maand tot 18 jaar Startdosering: 150 mg/kg/dosis, éénmalig. Onderhoudsdosering: 75 mg/kg/dosis elke 4 uur. De onderhoudsdosering dient te worden voortgezet tot de plasmaconcentratiespiegel lager is dan 10 mg/L, maar tenminste 24 uur. Bij voorkeur intraveneuze toediening. Alleen oraal indien intraveneuze toediening niet mogelijk is.			30	6574									discontinuous			acetylcysteine	1	mg	kg	4 uur													75											
58	acetylsalicylzuur			INTRAVENEUS		Trombocytenaggregatie remming	1 maand tot 18 jaar Acetylsalicylzuur: 3 - 5 mg/kg/dag in 1 dosis. Max: 80 mg/dag.			30	6574									discontinuous			acetylsalicylzuur	1	mg	kg	dag																	80		3	5				
56	acetylsalicylzuur			INTRAVENEUS		Ziekte van Kawasaki	1 maand tot 18 jaar Startdosering:Acetylsalicylzuur: 30 - 50 mg/kg/dag in 3 - 4 doses. Max: 3.000 mg/dag. Onderhoudsdosering: Nadat temperatuur genormaliseerd is en CRP gedaald: dosering verlagen tot 3 - 5 mg/kg/dag in 1 dosisEr is weinig bewijs voor de noodzaak van hoge startdoseringen. Er kan ook worden gekozen om te starten met de onderhoudsdosering van 3-5 mg/kg/dag.			30	6574									discontinuous	startdosering		acetylsalicylzuur	3;4	mg	kg	dag																	3000		30	50				
57	acetylsalicylzuur			INTRAVENEUS		Ziekte van Kawasaki	1 maand tot 18 jaar Startdosering:Acetylsalicylzuur: 30 - 50 mg/kg/dag in 3 - 4 doses. Max: 3.000 mg/dag. Onderhoudsdosering: Nadat temperatuur genormaliseerd is en CRP gedaald: dosering verlagen tot 3 - 5 mg/kg/dag in 1 dosisEr is weinig bewijs voor de noodzaak van hoge startdoseringen. Er kan ook worden gekozen om te starten met de onderhoudsdosering van 3-5 mg/kg/dag.			30	6574									discontinuous	onderhoudsdosering		acetylsalicylzuur	1	mg	kg	dag																	3000		3	5				
59	acetylsalicylzuur			ORAAL		Trombocytenaggregatie remming	1 maand tot 18 jaar Acetylsalicylzuur: 3 - 5 mg/kg/dag in 1 dosis. Max: 80 mg/dag. 1 mg acetylsalicylzuur = 1,25 mg carbasalaatcalcium			30	6574									discontinuous			acetylsalicylzuur	1	mg	kg	dag																	80		3	5				
52	acetylsalicylzuur			ORAAL		Ziekte van Kawasaki	1 maand tot 18 jaar Startdosering:Acetylsalicylzuur: 30 - 50 mg/kg/dag in 3 - 4 doses. Max: 3.000 mg/dag. Onderhoudsdosering: Nadat temperatuur genormaliseerd is en CRP gedaald: dosering verlagen tot 3 - 5 mg/kg/dag in 1 dosisEr is weinig bewijs voor de noodzaak van hoge startdoseringen. Er kan ook worden gekozen om te starten met de onderhoudsdosering van 3-5 mg/kg/dag.1 mg acetylsalicylzuur = 1,25 mg carbasalaatcalcium			30	6574									discontinuous	startdosering		acetylsalicylzuur	3;4	mg	kg	dag																			30	50				
54	acetylsalicylzuur			ORAAL		Ziekte van Kawasaki	1 maand tot 18 jaar Startdosering:Acetylsalicylzuur: 30 - 50 mg/kg/dag in 3 - 4 doses. Max: 3.000 mg/dag. Onderhoudsdosering: Nadat temperatuur genormaliseerd is en CRP gedaald: dosering verlagen tot 3 - 5 mg/kg/dag in 1 dosisEr is weinig bewijs voor de noodzaak van hoge startdoseringen. Er kan ook worden gekozen om te starten met de onderhoudsdosering van 3-5 mg/kg/dag.1 mg acetylsalicylzuur = 1,25 mg carbasalaatcalcium			30	6574									discontinuous	onderhoudsdosering		acetylsalicylzuur	1	mg	kg	dag																	3000		3	5				
61	aciclovir			CUTAAN		Herpes labialis (koortslip)	1 maand tot 18 jaar 5 maal daags dun aanbrengenBehandeling is alleen zinvol wanneer behandeling kort na prodromale verschijnselen wordt gestart.			30	6574									discontinuous			aciclovir	5			dag																								
69	aciclovir			INTRAVENEUS		Herpes encefalitis (normale immuunrespons), primaire/recidiverende Varicella zoster-infectie bij immuungecompromitteerden	Premature neonaten: Zwangerschapsduur < 37 weken 60 mg/kg/dag in 3 doses.Behandelduur: Herpes encefalitis: 14-21 dagen Varicella zoster: 7 dagen				182						259			discontinuous			aciclovir	3	mg	kg	dag																		60						
70	aciclovir			INTRAVENEUS		Herpes encefalitis (normale immuunrespons), primaire/recidiverende Varicella zoster-infectie bij immuungecompromitteerden	a terme neonaat 80 mg/kg/dag in 4 doses.Behandelduur: Herpes encefalitis: 14-21 dagen Varicella zoster: 7 dagen				30					259				discontinuous			aciclovir	4	mg	kg	dag																		80						
