GPK	Medication	Shape	Route	DoseType	Dep	CVL	PVL	DiluentVol	ExpansionVol	Diluents
161624	adenosine infusievlst 2mg/ml	infusievloeistof	iv		NEO			0		
101230	adenosine infusievlst 3mg/ml	infusievloeistof	iv		ICC			0		
101230	adenosine infusievlst 3mg/ml	infusievloeistof	iv		ICK			0		
101230	adenosine infusievlst 3mg/ml	infusievloeistof	iv		NEO			0		
92789	adenosine injectievlst 3mg/ml	injectievloeistof	iv		ICC			0		
92789	adenosine injectievlst 3mg/ml	injectievloeistof	iv		ICK			0		
92789	adenosine injectievlst 3mg/ml	injectievloeistof	iv		NEO			0		
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	iv		ICC			0		
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	iv		ICK			0		
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	iv		NEO			0		
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	im		ICC			0		
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	im		ICK			0		
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	im		NEO			0		
170933	adrenaline injvlst 0,5mg/ml	injectievloeistof	im		ICC			0		
170933	adrenaline injvlst 0,5mg/ml	injectievloeistof	im		ICK			0		
170933	adrenaline injvlst 0,5mg/ml	injectievloeistof	im		NEO			0		
170925	adrenaline injvlst 1mg/ml	injectievloeistof	im		ICC			0		
170925	adrenaline injvlst 1mg/ml	injectievloeistof	im		ICK			0		
170925	adrenaline injvlst 1mg/ml	injectievloeistof	im		NEO			0		
170925	adrenaline injvlst 1mg/ml	injectievloeistof	iv		ICC			0		
170925	adrenaline injvlst 1mg/ml	injectievloeistof	iv		ICK			0		
170925	adrenaline injvlst 1mg/ml	injectievloeistof	iv		NEO			0		
100056	alanylglutamine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
100056	alanylglutamine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
100056	alanylglutamine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
128295	albumine infvlst 40mg/ml	infusievloeistof	iv		ICC			0		
128295	albumine infvlst 40mg/ml	infusievloeistof	iv		ICK			0		
128295	albumine infvlst 40mg/ml	infusievloeistof	iv		NEO			0		
11975	albumine infvlst 200mg/ml	infusievloeistof	iv		ICC			0		
11975	albumine infvlst 200mg/ml	infusievloeistof	iv		ICK			0		
11975	albumine infvlst 200mg/ml	infusievloeistof	iv		NEO			0		
85839	alfacalcidol injvlst 2ug/ml	injectievloeistof	iv		ICC			0		
85839	alfacalcidol injvlst 2ug/ml	injectievloeistof	iv		ICK			0		
85839	alfacalcidol injvlst 2ug/ml	injectievloeistof	iv		NEO			0		
44644	alfentanil injvlst 0,5mg/ml	injectievloeistof	iv		ICC			0		
44644	alfentanil injvlst 0,5mg/ml	injectievloeistof	iv		ICK			0		
44644	alfentanil injvlst 0,5mg/ml	injectievloeistof	iv		NEO			0		
65498	alprostadil infopl conc 0,5mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
65498	alprostadil infopl conc 0,5mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
65498	alprostadil infopl conc 0,5mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
89664	alteplase infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		ICC			10		water
89664	alteplase infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		ICK			10		water
89664	alteplase infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		NEO			10		water
69205	alteplase infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		ICC			25		water
69205	alteplase infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		ICK			25		water
69205	alteplase infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		NEO			25		water
65986	amfotericine b infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		ICC			12		water
65986	amfotericine b infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		ICK			12		water
65986	amfotericine b infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		NEO			12		water
92266	amfotericine b infusiepoeder 50mg (liposomaal)	poeder voor oplossing voor infusie	iv		ICC			12		water
92266	amfotericine b infusiepoeder 50mg (liposomaal)	poeder voor oplossing voor infusie	iv		ICK			12		water
92266	amfotericine b infusiepoeder 50mg (liposomaal)	poeder voor oplossing voor infusie	iv		NEO			12		water
86649	amikacine injvlst 250mg/ml	injectievloeistof	im		ICC			0		
86649	amikacine injvlst 250mg/ml	injectievloeistof	im		ICK			0		
86649	amikacine injvlst 250mg/ml	injectievloeistof	im		NEO			0		
86649	amikacine injvlst 250mg/ml	injectievloeistof	iv		ICC			0		
86649	amikacine injvlst 250mg/ml	injectievloeistof	iv		ICK			0		
86649	amikacine injvlst 250mg/ml	injectievloeistof	iv		NEO			0		
65366	amiodaron injvlst 50mg/ml	injectievloeistof	iv		ICC			0		
65366	amiodaron injvlst 50mg/ml	injectievloeistof	iv		ICK			0		
65366	amiodaron injvlst 50mg/ml	injectievloeistof	iv		NEO			0		
13730	amoxicilline injectiepoeder 250mg	poeder voor injectievloeistof	im		ICC			1.5		water
13730	amoxicilline injectiepoeder 250mg	poeder voor injectievloeistof	im		ICK			1.5		water
13730	amoxicilline injectiepoeder 250mg	poeder voor injectievloeistof	im		NEO			1.5		water
13730	amoxicilline injectiepoeder 250mg	poeder voor injectievloeistof	iv		ICC			5		water
13730	amoxicilline injectiepoeder 250mg	poeder voor injectievloeistof	iv		ICK			5		water
13730	amoxicilline injectiepoeder 250mg	poeder voor injectievloeistof	iv		NEO			5		water
13749	amoxicilline injectiepoeder 500mg	poeder voor injectievloeistof	im		ICC			2.5		water
13749	amoxicilline injectiepoeder 500mg	poeder voor injectievloeistof	im		ICK			2.5		water
13749	amoxicilline injectiepoeder 500mg	poeder voor injectievloeistof	im		NEO			2.5		water
13749	amoxicilline injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICC			10		water
13749	amoxicilline injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICK			10		water
13749	amoxicilline injectiepoeder 500mg	poeder voor injectievloeistof	iv		NEO			10		water
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICC			5		water
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICK			5		water
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	im		NEO			5		water
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICC			20		water
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICK			20		water
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	iv		NEO			20		water
53864	amoxicilline/clavulaanzuur infpdr 2000/200mg	poeder voor oplossing voor infusie	iv		ICC			20		water
53864	amoxicilline/clavulaanzuur infpdr 2000/200mg	poeder voor oplossing voor infusie	iv		ICK			20		water
53864	amoxicilline/clavulaanzuur infpdr 2000/200mg	poeder voor oplossing voor infusie	iv		NEO			20		water
53813	amoxicilline/clavulaanzuur injpdr 500/50mg	poeder voor injectievloeistof	iv		ICC			10		water
53813	amoxicilline/clavulaanzuur injpdr 500/50mg	poeder voor injectievloeistof	iv		ICK			10		water
53813	amoxicilline/clavulaanzuur injpdr 500/50mg	poeder voor injectievloeistof	iv		NEO			10		water
53821	amoxicilline/clavulaanzuur injpdr 1000/100mg	poeder voor injectievloeistof	iv		ICC			20		water
53821	amoxicilline/clavulaanzuur injpdr 1000/100mg	poeder voor injectievloeistof	iv		ICK			20		water
53821	amoxicilline/clavulaanzuur injpdr 1000/100mg	poeder voor injectievloeistof	iv		NEO			20		water
53856	amoxicilline/clavulaanzuur injpdr 1000/200mg	poeder voor injectievloeistof	iv		ICC			20		water
53856	amoxicilline/clavulaanzuur injpdr 1000/200mg	poeder voor injectievloeistof	iv		ICK			20		water
53856	amoxicilline/clavulaanzuur injpdr 1000/200mg	poeder voor injectievloeistof	iv		NEO			20		water
128708	anidulafungine infusiepoeder 100mg	poeder voor oplossing voor infusie	iv		ICC			30		water
128708	anidulafungine infusiepoeder 100mg	poeder voor oplossing voor infusie	iv		ICK			30		water
128708	anidulafungine infusiepoeder 100mg	poeder voor oplossing voor infusie	iv		NEO			30		water
189111	anifrolumab infopl conc 150mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
189111	anifrolumab infopl conc 150mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
189111	anifrolumab infopl conc 150mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
98698	antitrombine iii infusiepoeder 500ie	poeder voor oplossing voor infusie	iv		ICC			10		water
98698	antitrombine iii infusiepoeder 500ie	poeder voor oplossing voor infusie	iv		ICK			10		water
98698	antitrombine iii infusiepoeder 500ie	poeder voor oplossing voor infusie	iv		NEO			10		water
138819	argatroban infopl conc 100mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
138819	argatroban infopl conc 100mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
138819	argatroban infopl conc 100mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
78492	arginine hcl infvlst 100mg/ml	infusievloeistof	iv		ICC			0		
78492	arginine hcl infvlst 100mg/ml	infusievloeistof	iv		ICK			0		
78492	arginine hcl infvlst 100mg/ml	infusievloeistof	iv		NEO			0		
172103	arginine/lysine infvlst 25/25mg/ml	infusievloeistof	iv		ICC			0		
172103	arginine/lysine infvlst 25/25mg/ml	infusievloeistof	iv		ICK			0		
172103	arginine/lysine infvlst 25/25mg/ml	infusievloeistof	iv		NEO			0		
175552	argipressine infopl conc 20ie/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
175552	argipressine infopl conc 20ie/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
175552	argipressine infopl conc 20ie/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
135569	artesunaat pdr v injvlst 60mg	poeder voor injectievloeistof	iv		ICC			1		1ml natriumbicarbonaat + 5ml NaCl/glucose
135569	artesunaat pdr v injvlst 60mg	poeder voor injectievloeistof	iv		ICK			1		1ml natriumbicarbonaat + 5ml NaCl/glucose
135569	artesunaat pdr v injvlst 60mg	poeder voor injectievloeistof	iv		NEO			1		1ml natriumbicarbonaat + 5ml NaCl/glucose
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	im		ICC			0		
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	im		ICK			0		
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	im		NEO			0		
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	iv		ICC			0		
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	iv		ICK			0		
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	iv		NEO			0		
110809	atosiban infopl conc 7,5mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
110809	atosiban infopl conc 7,5mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
110809	atosiban infopl conc 7,5mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
110795	atosiban injvlst 7,5mg/ml	injectievloeistof	iv		ICC			0		
110795	atosiban injvlst 7,5mg/ml	injectievloeistof	iv		ICK			0		
110795	atosiban injvlst 7,5mg/ml	injectievloeistof	iv		NEO			0		
53120	atracurium injvlst 10mg/ml	injectievloeistof	iv		ICC			0		
53120	atracurium injvlst 10mg/ml	injectievloeistof	iv		ICK			0		
53120	atracurium injvlst 10mg/ml	injectievloeistof	iv		NEO			0		
105902	basiliximab infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		ICC			5		water
105902	basiliximab infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		ICK			5		water
105902	basiliximab infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		NEO			5		water
138991	belatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICC			10.5		NaCl 0,9%;glucose 5%
138991	belatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICK			10.5		NaCl 0,9%;glucose 5%
138991	belatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		NEO			10.5		NaCl 0,9%;glucose 5%
136883	belimumab infusiepoeder 120mg	poeder voor oplossing voor infusie	iv		ICC			1.5		water
136883	belimumab infusiepoeder 120mg	poeder voor oplossing voor infusie	iv		ICK			1.5		water
136883	belimumab infusiepoeder 120mg	poeder voor oplossing voor infusie	iv		NEO			1.5		water
136891	belimumab infusiepoeder 400mg	poeder voor oplossing voor infusie	iv		ICC			4.8		water
136891	belimumab infusiepoeder 400mg	poeder voor oplossing voor infusie	iv		ICK			4.8		water
136891	belimumab infusiepoeder 400mg	poeder voor oplossing voor infusie	iv		NEO			4.8		water
162868	benzylpenicilline (depot) injsusp 1.200.000ie	poeder voor suspensie voor injectie	im		ICC			4		water;lidocaine 1%
162868	benzylpenicilline (depot) injsusp 1.200.000ie	poeder voor suspensie voor injectie	im		ICK			4		water;lidocaine 1%
162868	benzylpenicilline (depot) injsusp 1.200.000ie	poeder voor suspensie voor injectie	im		NEO			4		water;lidocaine 1%
18872	benzylpenicilline (natrium) injpdr 1.000.000ie	poeder voor injectievloeistof	im		ICC			4.6		water
18872	benzylpenicilline (natrium) injpdr 1.000.000ie	poeder voor injectievloeistof	im		ICK			4.6		water
18872	benzylpenicilline (natrium) injpdr 1.000.000ie	poeder voor injectievloeistof	im		NEO			4.6		water
18872	benzylpenicilline (natrium) injpdr 1.000.000ie	poeder voor injectievloeistof	iv		ICC			4.6		water
18872	benzylpenicilline (natrium) injpdr 1.000.000ie	poeder voor injectievloeistof	iv		ICK			4.6		water
18872	benzylpenicilline (natrium) injpdr 1.000.000ie	poeder voor injectievloeistof	iv		NEO			4.6		water
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	im		ICC			10		water
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	im		ICK			10		water
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	im		NEO			10		water
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	iv		ICC			15.8		water
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	iv		ICK			15.8		water
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	iv		NEO			15.8		water
113301	betamethason injsusp 5,7mg/ml	suspensie voor injectie	im		ICC			0		
113301	betamethason injsusp 5,7mg/ml	suspensie voor injectie	im		ICK			0		
113301	betamethason injsusp 5,7mg/ml	suspensie voor injectie	im		NEO			0		
123056	bevacizumab infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
123056	bevacizumab infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
123056	bevacizumab infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
4618	biperideen injvlst 5mg/ml	injectievloeistof	im		ICC			0		
4618	biperideen injvlst 5mg/ml	injectievloeistof	im		ICK			0		
4618	biperideen injvlst 5mg/ml	injectievloeistof	im		NEO			0		
4618	biperideen injvlst 5mg/ml	injectievloeistof	iv		ICC			0		
4618	biperideen injvlst 5mg/ml	injectievloeistof	iv		ICK			0		
4618	biperideen injvlst 5mg/ml	injectievloeistof	iv		NEO			0		
133671	bivalirudine pdr inj/infopl 250mg	poeder voor injectie/infusieoplossing	iv		ICC			5		water
133671	bivalirudine pdr inj/infopl 250mg	poeder voor injectie/infusieoplossing	iv		ICK			5		water
133671	bivalirudine pdr inj/infopl 250mg	poeder voor injectie/infusieoplossing	iv		NEO			5		water
94110	botuline a toxine allergan injpdr 100e	poeder voor injectievloeistof	im		ICC			2		NaCl 0,9%
94110	botuline a toxine allergan injpdr 100e	poeder voor injectievloeistof	im		ICK			2		NaCl 0,9%
94110	botuline a toxine allergan injpdr 100e	poeder voor injectievloeistof	im		NEO			2		NaCl 0,9%
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	im		ICC			0		
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	im		ICK			0		
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	im		NEO			0		
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	iv		ICC			0		
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	iv		ICK			0		
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	iv		NEO			0		
147524	bupivacaine infvlst 1,25mg/ml (hcl)	infusievloeistof	iv		ICC			0		
147524	bupivacaine infvlst 1,25mg/ml (hcl)	infusievloeistof	iv		ICK			0		
147524	bupivacaine infvlst 1,25mg/ml (hcl)	infusievloeistof	iv		NEO			0		
187933	c1-esteraseremmer injpdr 500ie	poeder voor injectievloeistof	iv		ICC			5		water
187933	c1-esteraseremmer injpdr 500ie	poeder voor injectievloeistof	iv		ICK			5		water
187933	c1-esteraseremmer injpdr 500ie	poeder voor injectievloeistof	iv		NEO			5		water
186082	cabotegravir injsusp 200mg/ml	suspensie voor injectie	im		ICC			0		
186082	cabotegravir injsusp 200mg/ml	suspensie voor injectie	im		ICK			0		
186082	cabotegravir injsusp 200mg/ml	suspensie voor injectie	im		NEO			0		
13382	calcitonine injvlst 100ie/ml	injectievloeistof	im		ICC			0		
13382	calcitonine injvlst 100ie/ml	injectievloeistof	im		ICK			0		
13382	calcitonine injvlst 100ie/ml	injectievloeistof	im		NEO			0		
13382	calcitonine injvlst 100ie/ml	injectievloeistof	iv		ICC			0		
13382	calcitonine injvlst 100ie/ml	injectievloeistof	iv		ICK			0		
13382	calcitonine injvlst 100ie/ml	injectievloeistof	iv		NEO			0		
126160	calciumgluconaat inj 100mg/ml(0,225mmol ca/ml)	injectievloeistof	im		ICC			0		
126160	calciumgluconaat inj 100mg/ml(0,225mmol ca/ml)	injectievloeistof	im		ICK			0		
126160	calciumgluconaat inj 100mg/ml(0,225mmol ca/ml)	injectievloeistof	im		NEO			0		
126160	calciumgluconaat inj 100mg/ml(0,225mmol ca/ml)	injectievloeistof	iv		ICC			0		
126160	calciumgluconaat inj 100mg/ml(0,225mmol ca/ml)	injectievloeistof	iv		ICK			0		
126160	calciumgluconaat inj 100mg/ml(0,225mmol ca/ml)	injectievloeistof	iv		NEO			0		
158925	cangrelor pdr inj/infopl 50mg	poeder voor injectie/infusieoplossing	iv		ICC			5		water
158925	cangrelor pdr inj/infopl 50mg	poeder voor injectie/infusieoplossing	iv		ICK			5		water
158925	cangrelor pdr inj/infopl 50mg	poeder voor injectie/infusieoplossing	iv		NEO			5		water
177660	caplacizumab injectiepoeder 10mg	poeder voor injectievloeistof	iv		ICC			1		water
177660	caplacizumab injectiepoeder 10mg	poeder voor injectievloeistof	iv		ICK			1		water
177660	caplacizumab injectiepoeder 10mg	poeder voor injectievloeistof	iv		NEO			1		water
125814	carbetocine injvlst 100ug/ml	injectievloeistof	iv		ICC			0		
125814	carbetocine injvlst 100ug/ml	injectievloeistof	iv		ICK			0		
125814	carbetocine injvlst 100ug/ml	injectievloeistof	iv		NEO			0		
118354	caspofungine infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		ICC			10.5		water
118354	caspofungine infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		ICK			10.5		water
118354	caspofungine infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		NEO			10.5		water
118362	caspofungine infusiepoeder 70mg	poeder voor oplossing voor infusie	iv		ICC			10.5		water
118362	caspofungine infusiepoeder 70mg	poeder voor oplossing voor infusie	iv		ICK			10.5		water
118362	caspofungine infusiepoeder 70mg	poeder voor oplossing voor infusie	iv		NEO			10.5		water
16624	cefazoline pdr v injvlst 1000mg	poeder voor injectievloeistof	im		ICC			2.5		water;NaCl 0,9%;lidocaïne 0,5%
16624	cefazoline pdr v injvlst 1000mg	poeder voor injectievloeistof	im		ICK			2.5		water;NaCl 0,9%;lidocaïne 0,5%
16624	cefazoline pdr v injvlst 1000mg	poeder voor injectievloeistof	im		NEO			2.5		water;NaCl 0,9%;lidocaïne 0,5%
16624	cefazoline pdr v injvlst 1000mg	poeder voor injectievloeistof	iv		ICC			10		water;NaCl 0,9%
16624	cefazoline pdr v injvlst 1000mg	poeder voor injectievloeistof	iv		ICK			10		water;NaCl 0,9%
16624	cefazoline pdr v injvlst 1000mg	poeder voor injectievloeistof	iv		NEO			10		water;NaCl 0,9%
38369	cefotaxim injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICC			4		water
38369	cefotaxim injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICK			4		water
38369	cefotaxim injectiepoeder 1000mg	poeder voor injectievloeistof	im		NEO			20		water
38369	cefotaxim injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICC			4		water
38369	cefotaxim injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICK			4		water
38369	cefotaxim injectiepoeder 1000mg	poeder voor injectievloeistof	iv		NEO			20		water
53422	ceftazidim injectiepoeder 500mg	poeder voor injectievloeistof	im		ICC			1.5		water
53422	ceftazidim injectiepoeder 500mg	poeder voor injectievloeistof	im		ICK			1.5		water
53422	ceftazidim injectiepoeder 500mg	poeder voor injectievloeistof	im		NEO			1.5		water
53422	ceftazidim injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICC			5		water
53422	ceftazidim injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICK			5		water
53422	ceftazidim injectiepoeder 500mg	poeder voor injectievloeistof	iv		NEO			5		water
53430	ceftazidim injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICC			3		water
53430	ceftazidim injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICK			3		water
53430	ceftazidim injectiepoeder 1000mg	poeder voor injectievloeistof	im		NEO			3		water
53430	ceftazidim injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICC			10		water
53430	ceftazidim injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICK			10		water
53430	ceftazidim injectiepoeder 1000mg	poeder voor injectievloeistof	iv		NEO			10		water
53449	ceftazidim injectiepoeder 2000mg	poeder voor injectievloeistof	iv		ICC			10		water
53449	ceftazidim injectiepoeder 2000mg	poeder voor injectievloeistof	iv		ICK			10		water
53449	ceftazidim injectiepoeder 2000mg	poeder voor injectievloeistof	iv		NEO			10		water
172278	ceftazidim/avibactam infusiepoeder 2000/500mg	poeder voor oplossing voor infusie	iv		ICC			10		water
172278	ceftazidim/avibactam infusiepoeder 2000/500mg	poeder voor oplossing voor infusie	iv		ICK			10		water
172278	ceftazidim/avibactam infusiepoeder 2000/500mg	poeder voor oplossing voor infusie	iv		NEO			10		water
51047	ceftriaxon infusiepoeder 2000mg	poeder voor oplossing voor infusie	iv		ICC			20		water
51047	ceftriaxon infusiepoeder 2000mg	poeder voor oplossing voor infusie	iv		ICK			20		water
51047	ceftriaxon infusiepoeder 2000mg	poeder voor oplossing voor infusie	iv		NEO			20		water
119091	ceftriaxon injectiepoeder 500mg	poeder voor injectievloeistof	im		ICC			2		lidocaine 1%
119091	ceftriaxon injectiepoeder 500mg	poeder voor injectievloeistof	im		ICK			2		lidocaine 1%
119091	ceftriaxon injectiepoeder 500mg	poeder voor injectievloeistof	im		NEO			2		lidocaine 1%
119091	ceftriaxon injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICC			5		water
119091	ceftriaxon injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICK			5		water
119091	ceftriaxon injectiepoeder 500mg	poeder voor injectievloeistof	iv		NEO			5		water
117978	ceftriaxon injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICC			3.5		lidocaine 1%
117978	ceftriaxon injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICK			3.5		lidocaine 1%
117978	ceftriaxon injectiepoeder 1000mg	poeder voor injectievloeistof	im		NEO			3.5		lidocaine 1%
117978	ceftriaxon injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICC			10		water
117978	ceftriaxon injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICK			10		water
117978	ceftriaxon injectiepoeder 1000mg	poeder voor injectievloeistof	iv		NEO			10		water
22578	cefuroxim injectiepoeder 750mg	poeder voor injectievloeistof	im		ICC			3		water
22578	cefuroxim injectiepoeder 750mg	poeder voor injectievloeistof	im		ICK			3		water
22578	cefuroxim injectiepoeder 750mg	poeder voor injectievloeistof	im		NEO			3		water
22578	cefuroxim injectiepoeder 750mg	poeder voor injectievloeistof	iv		ICC			6		water
22578	cefuroxim injectiepoeder 750mg	poeder voor injectievloeistof	iv		ICK			6		water
22578	cefuroxim injectiepoeder 750mg	poeder voor injectievloeistof	iv		NEO			7.5		water
22586	cefuroxim injectiepoeder 1500mg	poeder voor injectievloeistof	iv		ICC			15		water
22586	cefuroxim injectiepoeder 1500mg	poeder voor injectievloeistof	iv		ICK			15		water
22586	cefuroxim injectiepoeder 1500mg	poeder voor injectievloeistof	iv		NEO			15		water
22586	cefuroxim injectiepoeder 1500mg	poeder voor injectievloeistof	im		ICC			6		water
22586	cefuroxim injectiepoeder 1500mg	poeder voor injectievloeistof	im		ICK			6		water
22586	cefuroxim injectiepoeder 1500mg	poeder voor injectievloeistof	im		NEO			6		water
45357	ciclosporine infopl conc 50mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
45357	ciclosporine infopl conc 50mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
45357	ciclosporine infopl conc 50mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
167002	ciprofloxacine infvlst 2mg/ml	infusievloeistof	iv		ICC			0		
